Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Listed_Facility_Count,Has_Bus_Stop,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Highway,Has_Railway_Station,Is_Non_Bumi_Lot,Freehold Indicator,Floor_Range_Ordinal,Has_Barbeque_Area,Has_Club_House,Has_Gymnasium,Has_Jogging_Track,Has_Lift,Has_Minimart,Has_Multipurpose_Hall,Has_Parking,Has_Playground,Has_Sauna,Has_Security,Has_Squash_Court,Has_Swimming_Pool,Has_Tennis_Court,State_Kuala_Lumpur,State_Melaka,State_Negeri_Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Unknown,PropertyType_Condominium,PropertyType_Flat,PropertyType_Service_Residence,Property_Age_Missing,Num_Floors_Missing,Total_Units_Missing,Parking_Lot_Missing
3,2,700.0,20.0,463.0,1.0,9.0,0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
2,2,900.0,38.0,473.0,2.0,5.0,8,0,0,0,0,0,0,0,1,1,1.0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1175.0,32.0,463.0,1.0,28.0,7,0,0,0,0,0,0,0,0,1,2.0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,2,850.0,21.0,406.0,1.0,25.0,4,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,960.0,12.0,480.0,1.0,23.0,11,0,0,0,0,1,0,0,1,1,2.0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3,2,789.0,4.0,463.0,1.0,9.0,2,1,0,0,1,0,0,0,1,1,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2,1,646.0,63.0,956.0,1.0,2.0,11,1,1,1,1,0,0,0,1,1,2.0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2,1050.0,20.0,463.0,2.0,9.0,8,0,0,0,0,0,0,0,1,0,2.0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
2,2,855.0,9.0,672.0,1.0,18.0,8,0,0,0,0,0,0,0,1,0,2.0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,2,1200.0,10.0,463.0,1.0,9.0,3,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
3,2,675.0,5.0,463.0,1.0,9.0,2,0,0,0,0,0,0,0,1,0,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,3,1661.0,41.0,192.0,2.0,12.0,5,1,1,1,1,1,1,0,1,1,2.0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1000.0,18.0,463.0,1.0,9.0,6,0,1,0,1,1,0,1,1,0,3.0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,3,1378.0,20.0,463.0,1.0,9.0,7,0,0,0,0,0,0,0,1,0,2.0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
3,2,829.0,6.0,225.0,1.0,9.0,4,0,0,0,0,0,0,0,1,1,2.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,2,861.0,26.0,463.0,1.0,9.0,9,1,1,1,1,0,0,1,1,1,2.0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
4,2,1366.0,27.0,162.0,1.0,6.0,7,0,0,1,1,0,0,0,0,0,2.0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2,1,600.0,20.0,463.0,1.0,9.0,6,0,0,0,0,0,0,0,1,1,3.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
3,2,1000.0,21.0,463.0,2.0,9.0,4,0,0,0,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2,3,1365.0,20.0,174.0,1.0,9.0,10,0,0,0,0,0,0,0,1,1,3.0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
4,2,1000.0,20.0,1000.0,1.0,9.0,5,0,0,0,0,0,0,0,1,1,3.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
3,2,1120.0,14.0,204.0,1.0,26.0,5,1,1,1,1,0,0,1,1,1,2.0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
